Field Office,Sub-Office,Jail or Prison Type,Juvenile Facility,Jail or Prison Name,Jail or Prison City,County,State,Jurisdiction,2015 Detainer/Notification Acceptance Status,2015 ICE Comments,2017 ICE Comments,ILRC Analysis,No 287(g),No ICE Detention Contract,No ICE holds,No ICE alerts,Limits on ICE interrogations in jail,Prohibition on asking about immigration status,General prohibition on assistance to ICE,ILRC Total,ILRC Comments,Title of Policy,LINK,GEOID - FIPS
NOL,Etowah,County/City,NO,Jefferson County Jail - AL,Birmingham,Jefferson,AL,Jefferson Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01073
NOL,Etowah,County/City,NO,Lamar County Jail - AL,Vernon,Lamar,AL,Lamar Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01075
NOL,Etowah,County/City,NO,Lauderdale County Jail - AL,Florence,Lauderdale,AL,Lauderdale Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01077
NOL,Etowah,County/City,NO,Lawrence County Jail - AL,Moulton,Lawrence,AL,Lawrence Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01079
NOL,Etowah,County/City,NO,Lee County Jail - AL,Opelika,Lee,AL,Lee Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01081
NOL,Etowah,County/City,NO,Limestone County Jail - AL,Athens,Limestone,AL,Limestone Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01083
NOL,Etowah,County/City,NO,Lowndes County Jail - AL,Hayneville,Lowndes,AL,Lowndes Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01085
NOL,Etowah,County/City,NO,Macon County Jail - AL,Tuskegee,Macon,AL,Macon Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01087
NOL,Etowah,County/City,NO,Madison County Jail - AL,Huntsville,Madison,AL,Madison Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,1,1,0,0,0,4,,,,01089
NOL,Mobile,County/City,NO,Marengo County Jail - AL,Linden,Marengo,AL,Marengo Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01091
NOL,Etowah,County/City,NO,Marion County Jail - AL,Hamilton,Marion,AL,Marion Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01093
NOL,Etowah,County/City,NO,Marshall County Jail - AL,Guntersville,Marshall,AL,Marshall Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01095
NOL,Mobile,County/City,NO,Mobile County Metro Jail - AL,Mobile,Mobile,AL,Mobile Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01097
NOL,Mobile,County/City,NO,Monroe County - AL,Monroeville,Monroe,AL,Monroe Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01099
NOL,Etowah,County/City,NO,Montgomery County Jail - AL,Montgomery,Montgomery,AL,Montgomery Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01101
NOL,Etowah,County/City,NO,Morgan County Jail - AL,Decatur,Morgan,AL,Morgan Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01103
NOL,Etowah,County/City,NO,Perry County Jail - AL,Marion,Perry,AL,Perry Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01105
NOL,Etowah,County/City,NO,Pickens County Jail - AL,Carrollton,Pickens,AL,Pickens Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01107
NOL,Etowah,County/City,NO,Pike County Jail - AL,Troy,Pike,AL,Pike Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01109
NOL,Etowah,County/City,NO,Randolph County Jail - AL,Randolph,Randolph,AL,Randolph Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01111
NOL,Etowah,County/City,NO,Russell County Jail - AL,Phenix City,Russell,AL,Russell Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01113
NOL,Etowah,County/City,NO,St. Clair County Jail - AL,Ashville,St. Clair,AL,St. Clair Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01115
NOL,Etowah,County/City,NO,Shelby County Jail - AL,Columbiana,Shelby,AL,Shelby Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,1,0,0,0,0,3,,,,01117
NOL,Etowah,County/City,NO,Sumter County Jail - AL,Livingston,Sumter,AL,Sumter Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01119
NOL,Etowah,County/City,NO,Talladega County Jail - AL,Talladega,Talladega,AL,Talladega Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01121
NOL,Etowah,County/City,NO,Tallapoosa County Jail - AL,Dadeville,Tallapoosa,AL,Tallapoosa Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01123
NOL,Etowah,County/City,NO,Tuscaloosa County Jail - AL,Tuscaloosa,Tuscaloosa,AL,Tuscaloosa County Sherrifs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"LEITF Member | B(6); B(7)C to discuss PEP on 07/07/2015.

FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01125
NOL,Etowah,County/City,NO,Walker County  Jail -  AL,Jasper,Walker,AL,Walker Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01127
NOL,Mobile,County/City,NO,Washington County Jail - AL,Chatom,Washington,AL,Washington Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01129
NOL,Mobile,County/City,NO,Wilcox County Jail - AL,Camden,Wilcox,AL,Wilcox Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01131
NOL,Etowah,County/City,NO,Winston County Jail - AL,Double Springs,Winston,AL,Winston Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01133
NOL,Fort Smith,County/City,NO,Ashley County Jail - AR,Hamburg,Ashley,AR,Ashley County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05003
NOL,Fort Smith,County/City,NO,Jackson County Jail - AR,Newport,Jackson,AR,B(6); B(7)C Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,Guess on redacted county,,,05005
NOL,Fort Smith,County/City,NO,Baxter County Jail - AR,Mountain Home,Baxter,AR,Baxter County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05007
NOL,Fort Smith,County/City,NO,Boone County Jail - AR,Harrison,Boone,AR,Boone County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05011
NOL,Fort Smith,County/City,NO,Calhoun County Jail - AR,Hampton,Calhoun,AR,Calhoun Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05015
NOL,Fort Smith,County/City,NO,Carroll County Jail - AR,Berryville,Carroll,AR,Carrol Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05017
